real1,real2,real3,real4,imag1,imag2,imag3,imag4,shape,material
-0.7809241788437509,-0.767320356613588,-1.1067646965899849,-1.0354733711117532,-1.001803934244138,-0.69745361114464,-0.48880570349525954,-0.5899394543682236,1,1
-0.8338131358946336,-0.7173264649273484,-1.1258353708252746,-0.9910702881417975,-0.9469448051466371,-0.34848540555073804,-0.27836737332003375,-0.4692486479210821,1,1
-0.8417463637550279,-0.5285098119524008,-1.0996134672233433,-0.8974482414689429,-0.8231592997617292,0.03589219920994857,-0.09699267653582844,-0.3582287256978574,1,1
-0.7986911864161169,-0.20580260906782205,-1.0443366536176806,-0.7603838398535845,-0.6598054783906557,0.3978213488466408,0.04543866163657917,-0.26734747303074313,1,1
-0.7076113832740029,0.21993094949501552,-0.9757809238740762,-0.5906146164491191,-0.4845644403920872,0.6818327970990675,0.1473196737608422,-0.20450586186367267,1,1
-0.5783887818883142,0.6958149533911568,-0.9063672479676725,-0.4027225487444147,-0.3201413338183505,0.8464488565069559,0.21338295479209002,-0.17341267379875483,1,1
-0.4251149284288856,1.1561586104187294,-0.8436284219821246,-0.21324399057838753,-0.1824182249724134,0.8730476293067678,0.2518893765559618,-0.17257910249632494,1,1
-0.2633328815968495,1.5349098139068609,-0.7901245397079736,-0.03830083308111067,-0.07999689602642501,0.7697004908199406,0.2717228536116314,-0.1952395826864227,1,1
-0.10765457446389064,1.7784205945253124,-0.7445444287528495,0.1087993366876273,-0.01486368646604408,0.5690174983648734,0.2800668156181061,-0.230334158324694,1,1
0.02997281122477773,1.855506044973706,-0.7034425289112122,0.21947756952663208,0.016202261373477224,0.3205592706453011,0.2811106877608971,-0.2644221389965459,1,1
0.1412893915567599,1.7624908844498968,-0.6630742777972966,0.2908822565375576,0.01985966971021469,0.07991997690988502,0.27584035909724136,-0.28419355690667075,1,1
0.22205008268578244,1.5223676950154936,-0.6207832874872601,0.3257289122518247,0.0044056260696264,-0.1028607626119629,0.26279549801871127,-0.2789767700889902,1,1
0.2717858204693762,1.178644057299535,-0.575672223267464,0.33105753294018997,-0.02179772710381611,-0.19274448934568505,0.23936628414502945,-0.24267608273169158,1,1
0.29315130581753,0.7857327857379774,-0.5285165118294404,0.31625656273136815,-0.051510314500370136,-0.17506509973947146,0.20320693508615228,-0.17467025961214278,1,1
0.29102682993996337,0.3983496510007422,-0.48110735737690824,0.2908938977669514,-0.079335856390475,-0.056074059071447205,0.15338601516037187,-0.0794970795403609,1,1
0.27153189161943325,0.0622981727866969,-0.4353432175259808,0.262911266171434,-0.10197211068127529,0.14082757583371475,0.09104385974717033,0.03451251463157341,1,1
0.24109184579156703,-0.1916501875598085,-0.39240742582901333,0.23758143494454592,-0.11804517396795464,0.3817097440151476,0.019500905132543878,0.15720835374655978,1,1
